pbhh,pbll,pbhb,pblb,pshh,pshl,muh,mul,l
0.5,0.5,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.5,0.0
0.4956339052720991,0.5306013957318108,0.3156646213813879,0.3631093070436928,0.5092529537561876,0.5086585162239332,0.5002919888171935,0.4996973605158374,0.001751596749110199
0.4912803466794677,0.5613462895225388,0.2975635452925382,0.3943100974754007,0.5166934862670425,0.5142797121042475,0.5011706289584483,0.4987545369443147,0.003529532711847908
0.4870103865234963,0.5919801713827377,0.2792047658213349,0.4266964862609468,0.5223034297278667,0.5168004791856674,0.5026479308252979,0.4971365527483948,0.005338371166948474
0.4828991038572235,0.6222657234646491,0.2607653221353634,0.4600004016315949,0.5260822998146918,0.5161852848998788,0.5047478282256679,0.4948331001661548,0.007184117067030842
0.4790304914474836,0.6519871592251631,0.2424226113426132,0.493930729523947,0.5280424424486428,0.5124214639882421,0.5075067373138851,0.4918601402463172,0.00907387856160174
0.4755028317118427,0.6809514862062885,0.2243525678830924,0.5281782716720995,0.528207070195842,0.5055214550194121,0.5109727141232298,0.4882612620943387,0.01101540845367596
0.472433694253365,0.7089893650035254,0.2067262994728478,0.5624226172107424,0.5266112864016672,0.4955316127872738,0.5152031940147775,0.4841082743129771,0.01301666339930686
0.4699638142897656,0.7359573532914243,0.1897040651411562,0.5963432516015148,0.5233049289549344,0.4825446761877734,0.5202616040006189,0.4794999564562804,0.0150855277141679
0.4682595110178785,0.761741741119523,0.1734267834071263,0.6296353211702197,0.5183552099491653,0.4667110981007236,0.5262135205652705,0.4745578887280746,0.01722983881066509
0.4675140129532822,0.7862624286958497,0.1580068385821136,0.6620275880417229,0.5118470683715465,0.4482442490188672,0.5331233176473024,0.4694190362979412,0.01945779227424649
0.4679488214549413,0.809474181686256,0.1435210144816421,0.6932976259339456,0.5038801519251696,0.4274167363251434,0.5410521159067131,0.4642260723491112,0.02177868686717347
0.4698165388485637,0.831362844556634,0.1300081497118234,0.7232788993966647,0.4945631071464246,0.4045491135296611,0.550057151680731,0.4591175434465974,0.02420383061996522
0.4734059259471783,0.8519356391385008,0.1174725703071584,0.7518565698726243,0.4840075055480203,0.3799959718565398,0.5601916175175173,0.454220135527421,0.02674732613857685
0.4790481518943654,0.8712065855150463,0.1058924518915423,0.7789523840707913,0.4723244522482,0.3541357346891253,0.5715029710003668,0.4496443511146721,0.02942639991948314
0.4871202254806498,0.8891794354190554,0.09523106243473246,0.8045019330889704,0.4596265746180009,0.3273689242346096,0.584026942070326,0.4454834461626944,0.03226088459960207
0.498037360272284,0.9058313739333831,0.085448587303203,0.8284293626958361,0.4460369344930916,0.3001259364773779,0.5977742284509143,0.4418142138889089,0.03527136122504702
0.5122212713399412,0.9211021423201523,0.07651227093878464,0.8506265256446269,0.4317041305068591,0.2728795994870137,0.6127080602764036,0.4386974925754584,0.03847544240032873
0.5300307468673663,0.9348957486807709,0.06840210475232736,0.8709469117469572,0.416818099422422,0.2461494058403278,0.6287157305805313,0.4361763105033459,0.04188218154021132
0.5516554521709514,0.9471030210984506,0.06110858914586847,0.8892268917032715,0.4016135823453055,0.2204762566104754,0.6455877546873946,0.4342709957238579,0.04548626164357709
0.5770113239372303,0.9576457980884289,0.05462081001027409,0.9053384088938263,0.3863443744702271,0.1963520675891353,0.6630285455404722,0.4329740245776446,0.04926600813065343
0.6057086058731954,0.966524574591787,0.04890962546717742,0.919252219643596,0.3712248110404354,0.1741218546107863,0.6807134515017892,0.4322508835007454,0.05318925149360323
0.6371320459110027,0.9738387893430962,0.04391715486406105,0.9310705604188031,0.3563635553297962,0.1539145367790478,0.6983712623386203,0.4320514058770424,0.05722585121752551
0.6705844483357434,0.9797662963601502,0.03955988800912331,0.9410068514009517,0.3417250941094828,0.13564738546916,0.7158458200420552,0.4323282595787791,0.06135997087416003
0.7054035442657182,0.9845202024421829,0.03574119031108702,0.9493322785215147,0.3271283023747683,0.1190909042652995,0.73311120970783,0.4330544569097151,0.06559654675209577
0.7410067916721207,0.9883100382839439,0.03236376397693946,0.9563246054688122,0.3122625322356923,0.1039470456430964,0.7502531148541504,0.4342351476296991,0.06996247320001116
0.7768742511993721,0.9913195726501473,0.02933666675723098,0.9622375606973157,0.2966995160005877,0.08990929491586526,0.7674411643574909,0.4359144197377868,0.07450634942080965
0.8124949553536241,0.9936992435981785,0.02657676489495971,0.967289932424684,0.2798946384353224,0.07670183195201784,0.7849058015949983,0.4381792716086,0.07930005131863448
0.8472930491823706,0.9955668845883541,0.02400660543776456,0.9716667032030206,0.2611889983787163,0.06411043790360736,0.802918693508074,0.4411600602684419,0.08444396420221388
0.8805456847994103,0.9970120471053335,0.02155073606181642,0.9755257036275292,0.2398440096929504,0.05202014152533737,0.8217659095569053,0.445020804902147,0.09007731697515758
0.9113242163120422,0.9981020314210131,0.01913230627290457,0.9790060376642581,0.2151614504538585,0.04046567854340509,0.8417003754564788,0.449925908957174,0.09639670115293203
0.938533538817703,0.9988896275221653,0.01667165949257512,0.9822364797814505,0.1867271569463274,0.02967377735919847,0.8628759277106285,0.4559729025968127,0.1036925265968368
0.9611240429924862,0.9994220418395198,0.01408747416868329,0.9853427096414927,0.1547006830144603,0.02004180816267544,0.8853066130185867,0.4631123624472504,0.1124308846522911
0.9783996561897849,0.9997476749649085,0.01130005300925345,0.988450473241927,0.1199455892450339,0.01202227100532139,0.9089000080586742,0.4711130991958798,0.1234447685914304
