pbhh,pbll,pbhb,pblb,pshh,pshl,muh,mul,l
1.0,1.0,0.130995117,0.869004883,1.0,0.261938021,0.7924319446430246,3.586092462839085e-16,2.50023108
1.0,1.0,0.1307781938928347,0.8692218061071654,0.9999999999999989,0.2624529863502934,0.7921087048880642,1.533666543455319e-15,2.400234178276352
1.0,1.0,0.1305430393819755,0.8694569606180245,0.9999999999999951,0.2630143315964628,0.7917566530982977,6.558233466725413e-15,2.300237852520235
1.0,1.0,0.1302872595354274,0.8697127404645727,0.9999999999999793,0.2636286097627497,0.7913717624577596,2.804023246764866e-14,2.200242243011663
1.0,1.0,0.1300080240609907,0.8699919759390093,0.9999999999999117,0.2643036677847436,0.7909492200968908,1.198687271512457e-13,2.100247533098708
1.0,1.0,0.1297019618657664,0.8702980381342336,0.9999999999996235,0.2650489816895577,0.7904832259256508,5.123284475064142e-13,2.000253965441884
0.9999999999999999,1.0,0.1293650260125719,0.8706349739874281,0.9999999999983928,0.2658761016873795,0.7899667263381376,2.189250821664438e-12,1.900261865651992
0.9999999999999986,0.9999999999999997,0.12899231633503,0.8710076836649698,0.9999999999931427,0.2667992512793,0.7893910570192458,9.3525463706529e-12,1.800271677330333
0.9999999999999885,0.9999999999999983,0.1285778435024754,0.8714221564975232,0.9999999999707546,0.2678361461744395,0.7887454565885468,3.99438522176184e-11,1.700284015086075
0.9999999999999144,0.9999999999999875,0.1281142109152635,0.8718857890847257,0.9999999998753478,0.2690091328693388,0.7880163933197941,1.705249639178854e-10,1.600299746596978
0.9999999999993643,0.9999999999999071,0.1275921794357271,0.8724078205641917,0.999999999469061,0.2703468018491686,0.7871866158370047,7.276592839317301e-10,1.500320122882173
0.9999999999952799,0.9999999999993133,0.1270000622318038,0.8729999377675967,0.9999999977404508,0.2718863216688202,0.7862337871555234,3.103291879630428e-09,1.400346991065268
0.9999999999649343,0.99999999999493,0.1263228690170682,0.8736771309785022,0.9999999903941261,0.2736768950592282,0.785128474745135,1.322534497898888e-08,1.300383153120142
0.9999999997393114,0.9999999999625744,0.1255410746924906,0.8744589252747823,0.9999999592189073,0.2757850055796738,0.7838311210829998,5.631075138968371e-08,1.200432992786288
0.9999999980604125,0.999999999723856,0.1246288191673916,0.8753711805908799,0.9999998271768218,0.2783025852725665,0.7822873659924464,2.394675848520477e-07,1.100503615320072
0.9999999855564771,0.999999997963925,0.1235512515450696,0.8764487466704148,0.9999992693750129,0.2813599954805225,0.7804206804465226,1.016676277021611e-06,1.000607008184571
0.9999999788463334,0.9999999970242613,0.1233241574770826,0.8766758399141592,0.9999990394916075,0.2820162755040683,0.7800211337529775,1.337783956398573e-06,0.9816321103730106
0.9999999741413239,0.9999999963665245,0.1232014369641349,0.8767985598500388,0.9999988908048976,0.2823726902729212,0.7798043137889955,1.545639878909899e-06,0.9716462995885029
0.999999968389605,0.9999999955634734,0.1230764332311291,0.8769235628783763,0.9999987191487805,0.2827370165432062,0.7795828020721038,1.785745203428964e-06,0.9616611148506536
0.9999999613582867,0.9999999945830244,0.1229490845562286,0.8770509106928079,0.9999985209841954,0.2831095121500403,0.7793564494655283,2.063094403436377e-06,0.9516765904815363
0.9999999527626616,0.9999999933860166,0.1228193271867104,0.8771806670116311,0.9999982922286376,0.2834904453698789,0.7791251009336425,2.383453620437134e-06,0.941692763005045
0.9999999422546788,0.999999991924653,0.1226870952780416,0.8773128976373522,0.999998028173079,0.2838800953501133,0.7788885953044397,2.753479520429675e-06,0.9317096713015967
0.9999999294088562,0.9999999901405984,0.1225523208339453,0.8774476705149455,0.9999977233862606,0.2842787525461922,0.7786467650279192,3.180856382258228e-06,0.9217273567735416
0.9999999137050608,0.9999999879626597,0.1224149336481285,0.8775850557880814,0.9999973716044533,0.2846867191639601,0.7783994359316155,3.674454199349406e-06,0.9117458635218079
0.9999998945074652,0.999999985303957,0.1222748612484624,0.8777251258524512,0.9999969656045005,0.2851043096043526,0.7781464269747784,4.244510997679465e-06,0.9017652385342707
0.9999998710388304,0.9999999820584737,0.1221320288445773,0.8778679554051314,0.9999964970576212,0.2855318509068756,0.7778875500030892,4.902843057426472e-06,0.8917855318862761
0.9999998423490797,0.9999999780968496,0.1219863592800103,0.8780136214887249,0.9999959563610936,0.2859696831874918,0.7776226095062103,5.663087283030244e-06,0.8818067969536645
0.9999998072769011,0.9999999732612529,0.1218377729902665,0.8781622035287758,0.999995332444493,0.2864181600655792,0.7773514023809598,6.540980607108298e-06,0.8718290906385248
0.9999997644028347,0.9999999673591291,0.1216861879684118,0.8783137833626603,0.9999946125466753,0.2868776490734887,0.7770737177034871,7.554682050240163e-06,0.8618524736077425
0.9999997119919646,0.9999999601555831,0.1215315197401128,0.878468445257823,0.9999937819591345,0.287348532040925,0.77678933651449,8.725143905255798e-06,0.8518770105442028
0.9999996479239212,0.9999999513640965,0.1213736813503964,0.8786262759168187,0.9999928237307077,0.2878312054448003,0.7764980316223205,1.007653948767678e-05,0.8419027704102217
0.9999995696073951,0.9999999406352197,0.1212125833648144,0.8787873644661636,0.9999917183278693,0.2883260807134085,0.776199567429736,1.163675601212265e-05,0.831929826722437
0.9999994738757579,0.9999999275428,0.1210481338881909,0.8789518024254177,0.9999904432439967,0.2888335844716479,0.7758936997911294,1.343796243938441e-05,0.8219582578369301
0.9999993568596326,0.9999999115672125,0.1208802386046973,0.8791196836522914,0.9999889725500277,0.2893541587115296,0.7755801759083238,1.551726361532285e-05,0.8119881472427786
