pbhh,pbll,pshh,pshl,muh,mul,l
0.5,0.5,0.5,0.5,0.5,0.5,0.0
0.4984273976990478,0.5110101480977064,0.5061935995776992,0.5061144297000201,0.5000391036499707,0.4999599217772211,0.0006292890696112775
0.4968300616101218,0.5222049525725555,0.5122946372118183,0.511972568673829,0.5001572190030779,0.4998349606880428,0.001269989008769468
0.4952098282908684,0.533582923906869,0.5182993706636373,0.5175624175619835,0.5003557198025984,0.4996178177087819,0.001922967684563917
0.4935686551132133,0.5451416649002861,0.5242042539562646,0.5228719100951484,0.500636221082505,0.4993009179690684,0.002589152577787312
0.4919086446827096,0.5568778454171074,0.5300060051522913,0.527888934356613,0.501000605408256,0.498876414699134,0.003269539892995994
0.4902320741633833,0.5687871819719976,0.5357016793780796,0.5326013505127045,0.5014510531088225,0.4983361924719946,0.003965204731562714
0.4885414308258619,0.5808644210311368,0.5412887475981282,0.5369970050640562,0.5019900766209124,0.4976718692661701,0.004677312421707424
0.4868394553508529,0.5931033244430346,0.5467651821214663,0.5410637424431393,0.5026205589636298,0.4968747969367447,0.005407131107070209
0.4851291946455103,0.6054966550146109,0.5521295504717116,0.5447894158032088,0.5033457962229559,0.49593605978069,0.00615604570736851
0.4834140661612583,0.6180361599635471,0.5573811200946748,0.5481619001364573,0.5041695437398221,0.4948464710060176,0.006925573382872449
0.4816979359290546,0.6307125498604368,0.5625199774336218,0.5511691124501089,0.5050960654488849,0.4935965670432603,0.00771738066135637
0.4799852127373058,0.6435154707783765,0.5675471661948502,0.5537990456431995,0.5061301854888847,0.4921765997387831,0.008533302425476473
0.4782809610462164,0.6564334677461066,0.5724648511785149,0.556039824985808,0.5072773407765283,0.4905765264921812,0.00937536301550906
0.4765910353273283,0.6694539382984815,0.5772765158853171,0.5578797987204611,0.5085436326765236,0.4887859982720377,0.01024579978476772
0.474922238492449,0.6825630759588699,0.5819872042492159,0.559307677279805,0.5099358751784756,0.4867943450658625,0.01114708956352448
0.4732825068718041,0.6957458048501767,0.5866038193000531,0.5603127389158464,0.5114616360692813,0.4845905575606868,0.01208197865577857
0.4716811237425578,0.7089857082018743,0.591135494315113,0.5608851230988761,0.5131292664206574,0.4821632625524544,0.01305351722751867
0.4701289626088462,0.7222649550226854,0.5955940550166189,0.5610162367705321,0.5149479122274878,0.4795006875769462,0.0140650992583099
0.4686387601937608,0.7355642300898594,0.5999945944683835,0.5606993023246871,0.5169275001153478,0.4765906074115559,0.01512050961928391
0.4672254172983907,0.7488626716865491,0.6043561852114178,0.5599300800191432,0.5190786864532311,0.4734202614220939,0.01622398027122103
0.4659063231146118,0.7621378176097082,0.6087027552271331,0.5587078015964733,0.5214127554948151,0.4699762265541554,0.01738025792296393
0.4647016948311486,0.7753655504999544,0.6130641542458901,0.5570363568629556,0.5239414464189234,0.4662442270823697,0.01859468545833243
0.4636349184789298,0.7885200152794741,0.6174774320817312,0.554925782113749,0.5266766796655817,0.4622088612226939,0.01987329841114253
0.4627328667143148,0.8015734505418736,0.6219883355887522,0.5523941103317541,0.5296301368854541,0.4578532306434601,0.0212229345458064
0.4620261499411572,0.8144958285068365,0.626652994302445,0.5494696589328398,0.5328126216926818,0.4531584794310121,0.02265134700771004
0.4615492197056504,0.8272541339278192,0.6315396848271144,0.5461938475154485,0.5362330845509296,0.4481032970037022,0.02416729584588661
0.4613401719787324,0.8398110400962356,0.6367304002489723,0.5426246368570977,0.539897130393742,0.4426635343864055,0.02578056335569357
0.4614399709120671,0.8521226945422982,0.6423216390221332,0.5388406073957281,0.5438047490682312,0.43681224932918,0.02750178900018314
0.4618906150316084,0.8641354018019557,0.6484232947637522,0.5349454286652867,0.5479469601704705,0.4305207445795124,0.02934194789256557
0.4627315343854754,0.8757813867809967,0.6551537838317926,0.5310717957995732,0.5523011770117027,0.4237614350325665,0.03131122522927825
0.4639934417996803,0.8869748482104687,0.6626289536902443,0.5273826039771531,0.5568256454492739,0.4165134076952943,0.03341705507162585
0.4656894768827808,0.8976112958939082,0.670943032298601,0.5240654205149875,0.5614546329935145,0.4087707117565539,0.03566138584296322
0.4678054275712849,0.907574741438359,0.6801437787065322,0.5213158207725086,0.5660979187327199,0.4005510818047491,0.03803799026131775
0.4702936996861573,0.9167557444631529,0.690211195087055,0.519309075034585,0.5706487209326729,0.3918997454376417,0.04053155906252383
0.4730765517927982,0.925076138916781,0.7010536372595096,0.5181688616318546,0.5750005744619836,0.3828829113492802,0.04312021480128715
0.4760595448752836,0.9325081226932137,0.7125277321863759,0.5179484934784878,0.5790666388547049,0.3735716522364736,0.04578103881986569
0.4791489360786228,0.9390768332360993,0.7244721659780342,0.5186341715919878,0.5827917886688644,0.3640244960400306,0.0484958332587648
0.4822647202934705,0.9448472006301045,0.736737483876104,0.5201650907332869,0.586153214066779,0.3542772550793216,0.05125441631096779
0.4853457922323213,0.9499049104336785,0.749201691315811,0.5224573443494658,0.5891529649878682,0.3443418961245323,0.05405497749878011
0.4883489882693043,0.9543403529695044,0.7617728869949921,0.5254222547483166,0.5918083919764391,0.3342108436068191,0.0569027285319457
0.4912453746177086,0.9582387499349659,0.7743849528667249,0.5289768641262528,0.5941442681306485,0.3238625912800431,0.05980820425988001
0.4940161697247851,0.961675630628753,0.7869912685051422,0.5330483608170368,0.5961876075714868,0.3132663912200048,0.06278593916870244
0.4966493352487859,0.9647156771187954,0.7995589270139408,0.5375749484530542,0.5979647525829784,0.3023854524580988,0.06585371157443494
