e,pshh,pshl,pbhh,pbll,pbhb,pblb,muh,mul
1.0,0.75,-0.01,0.99,1.0,0.04555555555555555,0.9444444444444444,1.0,0.19
0.9952140315789474,0.7555005525935254,-0.007607015789473684,0.9876070157894736,0.9976070157894736,0.04399646552229092,0.9444082116706916,0.9968425852783792,0.1868425852783793
0.9904280631578948,0.7608416305176701,-0.005214031578947368,0.9852140315789474,0.9952140315789474,0.04246934781550554,0.9443400065704595,0.993748960424511,0.18374896042451094
0.9856420947368421,0.7660325258304908,-0.0028210473684210525,0.982821047368421,0.992821047368421,0.04097266717249746,0.9442413644064499,0.9907154086151722,0.1807154086151721
0.9808561263157894,0.7710816618172227,-0.0004280631578947366,0.9804280631578948,0.9904280631578948,0.03950503001433193,0.9441136787575979,0.9877385605362689,0.1777385605362688
0.9760701578947368,0.7759967026263478,0.0019649210526315793,0.9780350789473684,0.9880350789473684,0.038065166734391635,0.9439582192305206,0.9848153505284083,0.17481535052840824
0.9712841894736842,0.7807846457333993,0.004357905263157895,0.975642094736842,0.9856420947368421,0.03665191674647414,0.9437761464114206,0.981942979601377,0.1719429796013771
0.9664982210526316,0.7854519004097744,0.006750889473684211,0.9732491105263158,0.9832491105263158,0.03526421578359938,0.9435685245672778,0.9791188840466165,0.16911888404661657
0.9617122526315789,0.7900043547015867,0.009143873684210527,0.9708561263157894,0.9808561263157894,0.033901085046088936,0.9433363324977707,0.9763407086456811,0.16634070864568107
0.9569262842105263,0.7944474329103236,0.011536857894736843,0.9684631421052632,0.9784631421052632,0.03256162187952858,0.9430804728573134,0.9736062836779759,0.16360628367797578
0.9521403157894737,0.7987861451714455,0.013929842105263159,0.9660701578947368,0.9760701578947368,0.03124499172650281,0.9428017802033218,0.9709136050893166,0.16091360508931649
0.9473543473684211,0.8030251304194354,0.016322826315789477,0.9636771736842105,0.9736771736842105,0.02995042114521857,0.9425010279775884,0.9682608173059101,0.15826081730591005
0.9425683789473684,0.8071686937866297,0.01871581052631579,0.9612841894736842,0.9712841894736842,0.028677191726753003,0.9421789345890365,0.9656461982748218,0.15564619827482182
0.9377824105263158,0.8112208392926139,0.02110879473684211,0.9588912052631579,0.9688912052631579,0.027424634773185026,0.941836168735587,0.9630681463882176,0.15306814638821756
0.9329964421052631,0.8151852985293356,0.02350177894736842,0.9564982210526316,0.9664982210526316,0.026192126623176416,0.941473354078578,0.9605251690093184,0.15052516900931837
0.9282104736842105,0.819065555925607,0.025894763157894733,0.9541052368421052,0.9641052368421053,0.024979084531050293,0.9410910733636866,0.9580158723665992,0.1480158723665993
0.9234245052631579,0.8228648710767053,0.028287747368421053,0.9517122526315789,0.9617122526315789,0.02378496302113392,0.9406898720665854,0.9555389526219494,0.1455389526219495
0.9186385368421053,0.8265862985453221,0.030680731578947372,0.9493192684210526,0.9593192684210526,0.02260925065189076,0.940270261628811,0.9530931879502922,0.14309318795029224
0.9138525684210527,0.830232705475278,0.033073715789473684,0.9469262842105263,0.9569262842105263,0.021451467134780716,0.9398327223389035,0.9506774314940992,0.14067743149409928
0.9090666000000001,0.8338067873062434,0.0354667,0.9445333,0.9545333,0.02031116076133361,0.9393777059053331,0.9482906050775026,0.13829060507750265
