pshl_1s,pshh_1s,pshl_2s,pshh_2s
0.6666666666666666,0.8833333333333333,0.3,0.5
0.4666666666666667,0.7166666666666667,0.4,0.5125
0.6333333333333333,0.9666666666666667,0.5375,0.775
0.4333333333333333,0.8333333333333334,0.4,0.625
0.5666666666666667,0.5,0.2625,0.375
0.6333333333333333,0.8666666666666667,0.3375,0.3625
0.45,0.65,0.525,0.7
