pool_n,pool_avg_price,lmix_n,lmix_avg_price,hmix_n,hmix_avg_price
1.0,80,1.0,146.66666666666669,1.0,80.0
1.02,80,1.02,146.66666666666669,1.02,80.00000014024621
1.04,80,1.04,146.66666666666669,1.04,80.00000027509836
1.06,80,1.06,146.66666666666669,1.06,80.00000121458521
1.08,80,1.08,146.66666666666669,1.08,80.00008742014566
1.1,80,1.1,146.66666666666669,1.1,80.00135443427347
1.12,80,1.12,146.66666666666669,1.12,80.00845968723297
1.1400000000000001,80,1.1400000000000001,146.66666666666669,1.1400000000000001,80.03132581710815
1.16,80,1.16,146.66666666666669,1.16,80.08374806108147
1.18,80,1.18,146.66666666666669,1.18,80.18031972949787
1.2,80,1.2,146.66666666666669,1.2,80.3338348865509
1.22,80,1.22,146.66666666666669,1.22,80.55397530071072
1.24,80,1.24,146.66666666666669,1.24,80.84703953035415
1.26,80,1.26,146.66666666666669,1.26,81.21625480197726
1.28,80,1.28,146.66666666666669,1.28,81.66234977543354
1.3,80,1.3,146.66666666666669,1.3,82.18412527671227
1.32,80,1.32,146.66666666666669,1.32,82.77897748080167
1.34,80,1.34,146.66666666666669,1.34,83.44334755370866
1.3599999999999999,80,1.3599999999999999,146.66666666666669,1.3599999999999999,84.17303569176617
1.38,80,1.38,146.66666666666669,1.38,84.96346753576528
1.4,80,1.4,146.66666666666669,1.4,85.80990178244454
1.42,80,1.42,146.66666666666669,1.42,86.70754953169487
1.44,80,1.44,146.66666666666669,1.44,87.65168209870657
1.46,80,1.46,146.66666666666669,1.46,88.63770233441706
1.48,80,1.48,146.66666666666669,1.48,89.66120204410036
1.5,80,1.5,146.66666666666669,1.5,90.71796655654907
1.52,80,1.52,146.66666666666669,1.52,91.8040248594786
1.54,80,1.54,146.66666666666669,1.54,92.91563396330002
1.56,80,1.56,146.66666666666669,1.56,94.04929711268498
1.58,80,1.58,146.66666666666669,1.58,95.20174150225482
1.6,80,1.6,146.66666666666669,1.6,96.36993736028671
1.62,80,1.62,146.66666666666669,1.62,97.55107959111533
1.6400000000000001,80,1.6400000000000001,146.66666666666669,1.6400000000000001,98.74257250529965
1.6600000000000001,80,1.6600000000000001,146.66666666666669,1.6600000000000001,99.94201979005193
1.6800000000000002,80,1.6800000000000002,146.66666666666669,1.6800000000000002,101.14722745759147
1.7000000000000002,80,1.7000000000000002,146.66666666666669,1.7000000000000002,102.3561692237854
1.72,80,1.72,146.66666666666669,1.72,103.56700021167134
1.74,80,1.74,146.66666666666669,1.74,104.77802810997798
1.76,80,1.76,146.66666666666669,1.76,105.98771750926971
1.78,80,1.78,146.66666666666669,1.78,107.19465633456626
1.8,80,1.8,146.66666666666669,1.8,108.39757601420085
1.82,80,1.82,146.66666666666669,1.82,109.59531514199224
1.8399999999999999,80,1.8399999999999999,146.66666666666669,1.8399999999999999,110.0
1.8599999999999999,80,1.8399999999999999,146.15702152252197,1.8599999999999999,110.0
1.88,80,1.82,144.2788812616369,1.88,110.0
1.9,80,1.8,142.3683039347331,1.9,110.0
1.92,80,1.78,140.42569931973233,1.92,110.0
1.94,80,1.76,138.4516184980219,1.94,110.0
1.96,80,1.74,136.44676745623008,1.96,110.0
1.98,80,1.72,134.4120216369629,1.98,110.0
2.0,80,1.7000000000000002,132.3484572242288,2.0,110.0
2.02,80,1.6800000000000002,130.2573587780907,2.02,110.0
2.04,80,1.6800000000000002,130.0,2.04,110.0
2.06,80,1.7000000000000002,130.0,2.06,110.0
2.08,80,1.72,130.0,2.08,110.0
2.1,80,1.74,130.0,2.1,110.0
2.12,80,1.76,130.0,2.12,110.0
2.14,80,1.78,130.0,2.14,110.0
2.16,80,1.8,130.0,2.16,110.0
2.1799999999999997,80,1.82,130.0,2.1799999999999997,110.0
2.2,80,1.8399999999999999,130.0,2.2,110.0
2.2199999999999998,80,1.8599999999999999,130.0,2.2199999999999998,110.0
2.24,80,1.88,130.0,2.24,110.0
2.26,80,1.9,130.0,2.26,110.0
2.2800000000000002,80,1.92,130.0,2.2800000000000002,110.0
2.3,80,1.94,130.0,2.3,110.0
2.3200000000000003,80,1.96,130.0,2.3200000000000003,110.0
2.34,80,1.98,130.0,2.34,110.0
2.3600000000000003,80,2.0,130.0,2.3600000000000003,110.0
2.38,80,2.02,130.0,2.38,110.0
2.4000000000000004,80,2.04,130.0,2.4000000000000004,110.0
2.42,80,2.06,130.0,2.42,110.0
2.44,80,2.08,130.0,2.44,110.0
2.46,80,2.1,130.0,2.46,110.0
2.48,80,2.12,130.0,2.48,110.0
2.5,80,2.14,130.0,2.5,110.0
2.52,80,2.16,130.0,2.52,110.0
2.54,80,2.1799999999999997,130.0,2.54,110.0
2.56,80,2.2,130.0,2.56,110.0
2.58,80,2.2199999999999998,130.0,2.58,110.0
2.6,80,2.24,130.0,2.6,110.0
2.62,80,2.26,130.0,2.62,110.0
2.64,80,2.2800000000000002,130.0,2.64,110.0
2.66,80,2.3,130.0,2.66,110.0
2.6799999999999997,80,2.3200000000000003,130.0,2.6799999999999997,110.0
2.7,80,2.34,130.0,2.7,110.0
2.7199999999999998,80,2.3600000000000003,130.0,2.7199999999999998,110.0
2.74,80,2.38,130.0,2.74,110.0
2.76,80,2.4000000000000004,130.0,2.76,110.0
2.7800000000000002,80,2.42,130.0,2.7800000000000002,110.0
2.8,80,2.44,130.0,2.8,110.0
2.8200000000000003,80,2.46,130.0,2.8200000000000003,110.0
2.84,80,2.48,130.0,2.84,110.0
2.8600000000000003,80,2.5,130.0,2.8600000000000003,110.0
2.88,80,2.52,130.0,2.88,110.0
