pool_n,pool_inf,lmix_n,lmix_inf,hmix_n,hmix_inf
1.0,0.5,1.0,0.6666666666666666,1.0,0.5
1.02,0.5,1.02,0.6666666666666666,1.02,0.5000000017530778
1.04,0.5,1.04,0.6666666666666666,1.04,0.5000000034387295
1.06,0.5,1.06,0.6666666666666666,1.06,0.5000000151823152
1.08,0.5,1.08,0.6666666666666666,1.08,0.5000010927518209
1.1,0.5,1.1,0.6666666666666666,1.1,0.5000169304284182
1.12,0.5,1.12,0.6666666666666666,1.12,0.5001057460904121
1.1400000000000001,0.5,1.1400000000000001,0.6666666666666666,1.1400000000000001,0.5003915727138519
1.16,0.5,1.16,0.6666666666666666,1.16,0.5010468507635182
1.18,0.5,1.18,0.6666666666666666,1.18,0.5022539966187235
1.2,0.5,1.2,0.6666666666666666,1.2,0.5041729360818863
1.22,0.5,1.22,0.6666666666666666,1.22,0.5069246912588838
1.24,0.5,1.24,0.6666666666666666,1.24,0.510587994129427
1.26,0.5,1.26,0.6666666666666666,1.26,0.5152031850247156
1.28,0.5,1.28,0.6666666666666666,1.28,0.5207793721929193
1.3,0.5,1.3,0.6666666666666666,1.3,0.5273015659589034
1.32,0.5,1.32,0.6666666666666666,1.32,0.5347372185100209
1.34,0.5,1.34,0.6666666666666666,1.34,0.5430418444213583
1.3599999999999999,0.5,1.3599999999999999,0.6666666666666666,1.3599999999999999,0.5521629461470772
1.38,0.5,1.38,0.6666666666666666,1.38,0.5620433441970659
1.4,0.5,1.4,0.6666666666666666,1.4,0.5726237722805567
1.42,0.5,1.42,0.6666666666666666,1.42,0.5838443691461859
1.44,0.5,1.44,0.6666666666666666,1.44,0.595646026233832
1.46,0.5,1.46,0.6666666666666666,1.46,0.6079712791802132
1.48,0.5,1.48,0.6666666666666666,1.48,0.6207650255512547
1.5,0.5,1.5,0.6666666666666666,1.5,0.6339745819568634
1.52,0.5,1.52,0.6666666666666666,1.52,0.6475503107434826
1.54,0.5,1.54,0.6666666666666666,1.54,0.6614454245412504
1.56,0.5,1.56,0.6666666666666666,1.56,0.6756162139085623
1.58,0.5,1.58,0.6666666666666666,1.58,0.6900217687781853
1.6,0.5,1.6,0.6666666666666666,1.6,0.7046242170035839
1.62,0.5,1.62,0.6666666666666666,1.62,0.7193884948889414
