pool_n,pool_inf,lmix_n,lmix_inf,hmix_n,hmix_inf
3.0,0.5,2.64,0.875,3.0,0.875
3.02,0.5,2.66,0.875,3.02,0.875
3.04,0.5,2.6799999999999997,0.875,3.04,0.875
3.06,0.5,2.7,0.875,3.06,0.875
3.08,0.5,2.7199999999999998,0.875,3.08,0.875
3.1,0.5,2.74,0.875,3.1,0.875
3.12,0.5,2.76,0.875,3.12,0.875
3.14,0.5,2.7800000000000002,0.875,3.14,0.875
3.16,0.5,2.8,0.875,3.16,0.875
3.18,0.5,2.8200000000000003,0.875,3.18,0.875
3.2,0.5,2.84,0.875,3.2,0.875
3.22,0.5,2.8600000000000003,0.875,3.22,0.875
3.24,0.5,2.88,0.875,3.24,0.875
3.2600000000000002,0.5,2.9000000000000004,0.875,3.2600000000000002,0.875
3.2800000000000002,0.5,2.92,0.875,3.2800000000000002,0.875
3.3000000000000003,0.5,2.94,0.875,3.3000000000000003,0.875
3.32,0.5,2.96,0.875,3.32,0.875
3.34,0.5,2.98,0.875,3.34,0.875
3.36,0.5,3.0,0.875,3.36,0.875
3.38,0.5,3.02,0.875,3.38,0.875
3.4,0.5,3.04,0.875,3.4,0.875
3.42,0.5,3.06,0.875,3.42,0.875
3.44,0.5,3.08,0.875,3.44,0.875
3.46,0.5,3.1,0.875,3.46,0.875
3.48,0.5,3.12,0.875,3.48,0.875
3.5,0.5,3.14,0.875,3.5,0.875
3.52,0.5,3.16,0.875,3.52,0.875
3.54,0.5,3.18,0.875,3.54,0.875
3.56,0.5,3.2,0.875,3.56,0.875
3.58,0.5,3.22,0.875,3.58,0.875
3.6,0.5,3.24,0.875,3.6,0.875
3.62,0.5,3.2600000000000002,0.875,3.62,0.875
3.64,0.5,3.2800000000000002,0.875,3.64,0.875
3.66,0.5,3.3000000000000003,0.875,3.66,0.875
3.68,0.5,3.32,0.875,3.68,0.875
3.7,0.5,3.34,0.875,3.7,0.875
3.72,0.5,3.36,0.875,3.72,0.875
3.74,0.5,3.38,0.875,3.74,0.875
3.7600000000000002,0.5,3.4,0.875,3.7600000000000002,0.875
3.7800000000000002,0.5,3.42,0.875,3.7800000000000002,0.875
3.8000000000000003,0.5,3.44,0.875,3.8000000000000003,0.875
3.82,0.5,3.46,0.875,3.82,0.875
3.84,0.5,3.48,0.875,3.84,0.875
3.86,0.5,3.5,0.875,3.86,0.875
3.88,0.5,3.52,0.875,3.88,0.875
3.9,0.5,3.54,0.875,3.9,0.875
3.92,0.5,3.56,0.875,3.92,0.875
3.94,0.5,3.58,0.875,3.94,0.875
3.96,0.5,3.6,0.875,3.96,0.875
3.98,0.5,3.62,0.875,3.98,0.875
4.0,0.5,3.64,0.875,4.0,0.875
4.02,0.5,3.66,0.875,4.02,0.875
4.04,0.5,3.68,0.875,4.04,0.875
4.0600000000000005,0.5,3.7,0.875,4.0600000000000005,0.875
4.08,0.5,3.72,0.875,4.08,0.875
4.1,0.5,3.74,0.875,4.1,0.875
4.12,0.5,3.7600000000000002,0.875,4.12,0.875
4.140000000000001,0.5,3.7800000000000002,0.875,4.140000000000001,0.875
4.16,0.5,3.8000000000000003,0.875,4.16,0.875
4.18,0.5,3.82,0.875,4.18,0.875
4.2,0.5,3.84,0.875,4.2,0.875
4.220000000000001,0.5,3.86,0.875,4.220000000000001,0.875
4.24,0.5,3.88,0.875,4.24,0.875
4.26,0.5,3.9,0.875,4.26,0.875
4.28,0.5,3.92,0.875,4.28,0.875
4.300000000000001,0.5,3.94,0.875,4.300000000000001,0.875
4.32,0.5,3.96,0.875,4.32,0.875
4.34,0.5,3.98,0.875,4.34,0.875
4.359999999999999,0.5,4.0,0.875,4.359999999999999,0.875
4.38,0.5,4.02,0.875,4.38,0.875
4.4,0.5,4.04,0.875,4.4,0.875
4.42,0.5,4.0600000000000005,0.875,4.42,0.875
4.4399999999999995,0.5,4.08,0.875,4.4399999999999995,0.875
4.46,0.5,4.1,0.875,4.46,0.875
4.48,0.5,4.12,0.875,4.48,0.875
4.5,0.5,4.140000000000001,0.875,4.5,0.875
4.52,0.5,4.16,0.875,4.52,0.875
4.54,0.5,4.18,0.875,4.54,0.875
4.5600000000000005,0.5,4.2,0.875,4.5600000000000005,0.875
4.58,0.5,4.220000000000001,0.875,4.58,0.875
4.6,0.5,4.24,0.875,4.6,0.875
4.62,0.5,4.26,0.875,4.62,0.875
4.640000000000001,0.5,4.28,0.875,4.640000000000001,0.875
4.66,0.5,4.300000000000001,0.875,4.66,0.875
4.68,0.5,4.32,0.875,4.68,0.875
4.7,0.5,4.34,0.875,4.7,0.875
4.720000000000001,0.5,4.359999999999999,0.875,4.720000000000001,0.875
4.74,0.5,4.38,0.875,4.74,0.875
4.76,0.5,4.4,0.875,4.76,0.875
4.78,0.5,4.42,0.875,4.78,0.875
4.800000000000001,0.5,4.4399999999999995,0.875,4.800000000000001,0.875
4.82,0.5,4.46,0.875,4.82,0.875
4.84,0.5,4.48,0.875,4.84,0.875
4.859999999999999,0.5,4.5,0.875,4.859999999999999,0.875
4.88,0.5,4.52,0.875,4.88,0.875
4.9,0.5,4.54,0.875,4.9,0.875
4.92,0.5,4.5600000000000005,0.875,4.92,0.875
4.9399999999999995,0.5,4.58,0.875,4.9399999999999995,0.875
4.96,0.5,4.6,0.875,4.96,0.875
4.98,0.5,4.62,0.875,4.98,0.875
5.0,0.5,4.640000000000001,0.875,5.0,0.875
